express_fee,integer,price,rePurchaseRate,title
,6846,24.90,0.45,跨境外贸女装2021春性感蕾丝透视开衫绑带V领显瘦露脐短袖上衣T恤
,112384,32.00,0.3529,2020女装针织衫amomi全民女友衣圆领宽松打底女内搭长袖薄款上衣
,2679,36.00,0.1429,2021春夏新款紧身上衣女装短款打底衫内搭拉链长袖修身字母T恤潮
,51,51.97,0.0,欧洲站女装2021新款夏装欧货潮时尚洋气长袖上衣衬衫女设计感小众
,1224,23.00,0.5,春夏爵士舞瑜伽健身上衣 显瘦修身短款字母印花女装纯棉短袖T恤
,167,29.00,1.0,2020夏装新款韩版文艺棉麻阔腿裤女装
,1823,93.00,0.0,2021夏季新款女装连衣裙法式短袖收腰显瘦气质长裙茶歇裙两件套
,1099,30.00,0.5,2020秋冬新款速卖通爆款女装性感百搭休闲风束小脚长裤女
,48432,24.50,0.0789,大码女装 欧美跨境200斤胖mm宽松t恤打底衫女减龄蝙蝠袖ins上衣女
,2890,25.00,0.5,2021新款女装胖MM名媛风气质V领显瘦衬衫女洋气泡泡袖上衣
,3166,86.00,0.0,实拍2021#春装大码女装新款韩版胖MM洋气显瘦V领时尚减龄连衣裙
,370,30.00,0.0,针织上衣薄款女夏季短袖针织开衫2021新款bai搭气质针织小衫女装
,349,11.90,0.0,学生纯色圆领开叉卷边七分袖T恤女新款女装韩版春夏宽松打底衫潮
,30131,46.00,0.0625,独立站wish亚马逊爆款 2021夏装新款印花波点连衣裙女装
,479,58.00,0.0,实拍夏装洋气套装2021新款中老年女装短袖T恤上衣中年棉麻两件套
,249,42.98,0.0,碎花雪纺连衣裙温柔风气质初恋甜美中长裙女装夏季2021年新款裙子
,2222,70.00,0.0,2021早春新款女装碎花气质大码显瘦遮小肚裙子贵夫人阔太太连衣裙
,3942,39.00,0.0,实拍2021春装新款大码女装微胖mm收腰蝴蝶结显瘦V领衬衫上衣
,2832,28.00,0.4167,H009跨境亚马逊波西米亚民族欧美泰国灯笼裤瑜伽服女装休闲裤
,8548,21.00,0.5556,2021wish亚马逊爆款 欧美跨境女装大码喇叭袖压褶t恤上衣打底衫
,1526,22.77,0.8,亚马逊2021新款夏季韩版印花卡通宽松大码女装短袖t恤女ins潮批发
,3425,55.00,0.8864,2021春季女装新款立领宽松套头韩版纯色金丝绒长袖打底上衣女6012
,26884,65.00,0.2593,亚马逊女装2021新款纯色V领镂空蕾丝A字裙长裙连衣裙
,3858,163.00,0.0,高腰阔腿裤套装女装2021新款春装气质御姐职业两件套裤装减龄时髦
,10978,16.00,0.1,广州十三行品牌折扣女装连衣裙尾货清仓货源批发春夏装专柜撤柜女
,94017,144.00,0.3208,外贸夏女装一件代发时尚性感深V领酒会晚礼服绷带紧身显瘦连衣裙
,2290,42.00,0.375,加绒连帽日系拼接卫衣女2020新款女装韩版长袖宽松百搭上衣潮
